rank,type,tier,url,city,state,shop_count
112,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-m-d-oklahoma-city-oklahoma-city.html,Oklahoma City,OK,
113,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-bledsoe-truck-trailer-repair-oklahoma-city.html,Oklahoma City,OK,
114,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-blumenthal-automotive-automatics-and-engine-shop-oklahoma-city.html,Oklahoma City,OK,
115,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mike-s-machine-shop-oklahoma-city.html,Oklahoma City,OK,
116,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-southwest-trailers-equip-llc-oklahoma-city.html,Oklahoma City,OK,
117,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-a-z-truck-trailer-repair-oklahoma-city.html,Oklahoma City,OK,
118,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-iron-goat-garage-oklahoma-city.html,Oklahoma City,OK,
119,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-elite-trailer-parts-service-and-repair-oklahoma-city.html,Oklahoma City,OK,
120,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-5-star-truck-and-trailer-repair-shop-oklahoma-city.html,Oklahoma City,OK,
121,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-motley-rv-repair-oklahoma-city.html,Oklahoma City,OK,
122,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-martin-diesel-mechanic-oklahoma-city.html,Oklahoma City,OK,
123,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-allen-rv-oklahoma-city.html,Oklahoma City,OK,
124,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-tnr-automotive-oklahoma-city.html,Oklahoma City,OK,
125,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-silverado-road-service-diesel-rv-repair-shop-oklahoma-city.html,Oklahoma City,OK,
126,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-diesel-service-inc-oklahoma-city.html,Oklahoma City,OK,
127,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-bi-fuel-power-solutions-oklahoma-city.html,Oklahoma City,OK,
128,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-commercial-truck-trailer-parts-oklahoma-city.html,Oklahoma City,OK,
129,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-j-d-truck-repair-llc-oklahoma-city.html,Oklahoma City,OK,
130,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-kc-auto-and-truck-repair-llc-oklahoma-city.html,Oklahoma City,OK,
131,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-oklahoma-truck-n-trailer-oklahoma-city.html,Oklahoma City,OK,
132,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-rv-service-center-oklahoma-city.html,Oklahoma City,OK,
133,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-nick-s-towing-roadside-we-buy-cars-running-or-not-raleigh.html,Raleigh,NC,
134,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-east-coast-fleet-service-raleigh.html,Raleigh,NC,
135,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-mobile-mechanic-raleigh.html,Raleigh,NC,
136,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-east-coast-towing-raleigh.html,Raleigh,NC,
137,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-jay-s-heavy-duty-repair-and-towing-raleigh.html,Raleigh,NC,
138,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-black-s-tire-auto-service-raleigh.html,Raleigh,NC,
139,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-xpress-auto-transport-raleigh.html,Raleigh,NC,
140,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-barbour-s-towing-truck-repair-raleigh.html,Raleigh,NC,
141,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-top-gear-tow-truck-service-raleigh.html,Raleigh,NC,
142,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-transource-truck-trailer-centers-raleigh.html,Raleigh,NC,
143,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-russ-trailer-repair-raleigh-raleigh.html,Raleigh,NC,
144,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-triangle-fleet-services-raleigh.html,Raleigh,NC,
145,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-the-one-stop-shop-raleigh.html,Raleigh,NC,
146,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-tca-automotive-mobile-mechanic-raleigh.html,Raleigh,NC,
147,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-red-rover-service-raleigh.html,Raleigh,NC,
148,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-trailer-rental-at-u-haul-raleigh.html,Raleigh,NC,
149,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-trailer-rental-at-u-haul-raleigh-2.html,Raleigh,NC,
150,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-raleigh-super-mobile-truck-repair-raleigh.html,Raleigh,NC,
151,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-inland-boat-company-raleigh.html,Raleigh,NC,
152,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-classic-collision-raleigh.html,Raleigh,NC,
153,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-joseph-motors-inc-raleigh.html,Raleigh,NC,
154,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-holmes-mobile-tire-battery-service-raleigh.html,Raleigh,NC,
155,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-mechanics-to-go-raleigh.html,Raleigh,NC,
156,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-motor-rite-raleigh.html,Raleigh,NC,
157,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-prime-time-mobile-detailing-raleigh.html,Raleigh,NC,
158,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-euromotion-raleigh.html,Raleigh,NC,
159,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-benchmark-autoworks-raleigh.html,Raleigh,NC,
160,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-duty-tire-service-center-raleigh.html,Raleigh,NC,
161,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-raleigh-ice-raleigh.html,Raleigh,NC,
162,shop,shops_in_raleigh,https://www.i40breakdown.com/shop-nc-onsite-raleigh-mobile-mechanic-raleigh.html,Raleigh,NC,
